ID,Asset,Side,Size,Entry Price,Exit Price,PnL ($),PnL (%),Reason,Opened At,Closed At,Duration (min),IPFS CID,Tx Hash
1,WETH/USDC,SHORT,0.038627,2069.03,2075.68,-0.34,-0.42,stop_loss,2026-03-30T11:53:06.512Z,2026-03-30T15:53:48.077Z,241,QmSbdvjUfjR3vvVnXV3Z3f3htWPi9nHfgHZR1JpHSMKVef,
2,WETH/USDC,SHORT,0.038669,2066.77,2074.95,-0.40,-0.50,stop_loss,2026-03-30T11:57:20.767Z,2026-03-30T15:59:00.367Z,242,QmRnvRTFbGk5sMorsW21AfsacCSgG8Zac4BuE9GbGdSNDh,
1,WETH/USDC,SHORT,0.039276,2034.70,2061.16,-1.04,-1.30,reconciliation,2026-03-30T18:41:09.540Z,2026-03-30T19:49:13.309Z,68,QmPQ8Hx1FD4pyV7yuKYSN2mQWpqMz2yN3T8EuQvCJxkfkQ,
2,WETH/USDC,SHORT,0.039304,2033.21,2062.18,-1.14,-1.42,reconciliation,2026-03-30T18:41:57.875Z,2026-03-30T19:49:13.311Z,67,QmUS9aR998A5bTE8QzURL2sFbS8b7kZUv9GgTBB214TRZQ,
1,WETH/USDC,SHORT,0.039664,2014.31,2063.89,-1.97,-2.46,reconciliation,2026-03-30T19:49:41.147Z,2026-03-30T20:04:23.982Z,15,QmbqsXqVpzqpSGY8kD4HHahwWgMoKBJCVwPWQW7Wh8xDFD,
2,WETH/USDC,SHORT,0.088967,2020.62,2067.83,-4.20,-2.34,reconciliation,2026-03-30T19:54:50.961Z,2026-03-30T20:04:23.986Z,10,QmTnSoRuH4ArHmLCRV3P3dQjokf7BFQeiprNeTfwBXBxy4,
1,WETH/USDC,SHORT,0.039500,2021.44,2023.00,-0.14,-0.18,stop_loss,2026-03-30T20:04:55.438Z,2026-03-31T00:05:48.100Z,241,Qmad5oYPxptST8djaLUJdK8uKJBH5LDoBhirEgcYEq1pmb,
2,WETH/USDC,SHORT,0.098730,2021.86,2019.88,-0.00,-0.00,stop_loss,2026-03-30T20:24:49.785Z,2026-03-31T00:25:47.090Z,241,QmPEJMcL3i21GULXvNJAYD7PPAWwHbCbUuBmzDBRGhtgBJ,
1,WETH/USDC,SHORT,0.068056,2053.16,2014.77,2.48,1.77,take_profit,2026-03-31T08:09:12.820Z,2026-03-31T10:00:34.887Z,111,QmRwzusxB6QH7eWk1LJPm4dtsBp1Yaau4hBU55ui1zWrTw,
1,WETH/USDC,SHORT,0.097300,2051.56,2027.86,2.31,1.15,reconciliation,2026-03-31T08:14:08.119Z,2026-03-31T10:40:57.709Z,147,QmXJ2UK74VaWRknN9EtozfeJt2J1CVSbBwtSKKdazSzuuZ,
1,WETH/USDC,SHORT,0.069188,2020.54,2074.02,-3.53,-2.53,stop_loss,2026-03-31T10:41:18.308Z,2026-03-31T13:55:46.172Z,194,QmRqHTnibqr6HSj4ad5q9CHPLE7a4oR2bgKANJEEj3Z3fF,
2,WETH/USDC,LONG,0.065805,2127.93,2143.18,1.38,0.99,stop_loss,2026-04-01T15:03:05.314Z,2026-04-01T17:26:06.765Z,143,QmfVCjRfdByX8J7kV4hUvgbNtYuuiB699HspiwQbwDnEk1,
1,WETH/USDC,LONG,0.066006,2121.46,2143.18,1.79,1.28,stop_loss,2026-04-01T14:03:00.003Z,2026-04-01T17:26:06.767Z,203,QmYhEGVHmDupLeEUhZa5nUK9c8QS2NGWG96dQGkvGcqGye,
1,WETH/USDC,LONG,0.000000,2143.59,2137.56,-0.69,-0.03,direction_flip,2026-04-01T17:57:31.514Z,2026-04-01T17:57:31.514Z,0,,
